<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AQUA;D;03.01.2022;0:00;597,5;610;597,5;603,5;9,73
AQUA;D;04.01.2022;0:00;607,5;610;594;596;11,1
AQUA;D;05.01.2022;0:00;595;595;576,5;584;19,98
AQUA;D;06.01.2022;0:00;572,5;595;552;590;23,29
AQUA;D;10.01.2022;0:00;592,5;607;583;586;25,58
AQUA;D;11.01.2022;0:00;588;591;573;580;21,98
AQUA;D;12.01.2022;0:00;575,5;611,5;565;609;86,02
AQUA;D;13.01.2022;0:00;606;620;595;604;44,35
AQUA;D;14.01.2022;0:00;592,5;612,5;565;577;44,67
AQUA;D;17.01.2022;0:00;581,5;649,5;577;620,5;134,4
AQUA;D;18.01.2022;0:00;612,5;620;571;586;73,74
AQUA;D;19.01.2022;0:00;580,5;605;560,5;603;45,56
AQUA;D;20.01.2022;0:00;605;630;603,5;624;40,07
AQUA;D;21.01.2022;0:00;621;630;610;616;30,12
AQUA;D;24.01.2022;0:00;618,5;621,5;590;599;47,32
AQUA;D;25.01.2022;0:00;597,5;610;594;600,5;29,18
AQUA;D;26.01.2022;0:00;603;604,5;591;593;16,53
AQUA;D;27.01.2022;0:00;590;614;577,5;597,5;44,82
AQUA;D;28.01.2022;0:00;601;605,5;591,5;591,5;7,15
AQUA;D;31.01.2022;0:00;594;610;594;608;34,1
AQUA;D;01.02.2022;0:00;608,5;618;598;601,5;24,3
AQUA;D;02.02.2022;0:00;603,5;604;579;585;24,25
AQUA;D;03.02.2022;0:00;583,5;587;551,5;560;43,89
AQUA;D;04.02.2022;0:00;570;581;565,5;570;15,47
AQUA;D;07.02.2022;0:00;573;582,5;558;567;40,12
AQUA;D;08.02.2022;0:00;567;575;561;573,5;22,85
AQUA;D;09.02.2022;0:00;578;579;569;572;13,31
AQUA;D;10.02.2022;0:00;571;574,5;552,5;567;22,87
AQUA;D;11.02.2022;0:00;563;575;550,5;557;27,27
AQUA;D;14.02.2022;0:00;553,5;565;536;549,5;18,84
AQUA;D;15.02.2022;0:00;551;559;543,5;550;18,92
AQUA;D;16.02.2022;0:00;550,5;572,5;550;550;11,13
AQUA;D;17.02.2022;0:00;553;553;533;533;17,33
AQUA;D;18.02.2022;0:00;534,5;538,5;509;510;30,01
AQUA;D;21.02.2022;0:00;520;534;420;461;124,48
AQUA;D;22.02.2022;0:00;460,5;489;359;475;79,31
AQUA;D;24.02.2022;0:00;452,5;460;291;370;70,6
AQUA;D;25.02.2022;0:00;375;470;372;420;48,936
AQUA;D;28.03.2022;0:00;440,5;557;410;515;91,307
AQUA;D;29.03.2022;0:00;539;595;528;579;61,578
AQUA;D;30.03.2022;0:00;600;600;525;540;36,505
AQUA;D;31.03.2022;0:00;543,5;565,5;530;535;32,945
AQUA;D;01.04.2022;0:00;543,5;551,5;530;539,5;18,151
AQUA;D;04.04.2022;0:00;542,5;547,5;530;532,5;12,27
AQUA;D;05.04.2022;0:00;532;539;486,5;501,5;20,426
AQUA;D;06.04.2022;0:00;503;561;498,5;516;75,15
AQUA;D;07.04.2022;0:00;518;565;518;539,5;42,554
AQUA;D;08.04.2022;0:00;541,5;553;525;536,5;14,751
AQUA;D;11.04.2022;0:00;534,5;535;500;505;20,032
AQUA;D;12.04.2022;0:00;507;511;480;494,5;22,847
AQUA;D;13.04.2022;0:00;498;510;482;499,5;15,775
AQUA;D;14.04.2022;0:00;499,5;509;482;483;10,339
AQUA;D;15.04.2022;0:00;483;488,5;469;484;13,215
AQUA;D;18.04.2022;0:00;483;483,5;437,5;450;31,859
AQUA;D;19.04.2022;0:00;450,5;455,5;408;427;36,998
AQUA;D;20.04.2022;0:00;450;469,5;430,5;449;37,884
AQUA;D;21.04.2022;0:00;454,5;460;435;445;16,761
AQUA;D;22.04.2022;0:00;440,5;448,5;422,5;423,5;16,768
AQUA;D;25.04.2022;0:00;410,5;424,5;404;418,5;16,274
AQUA;D;26.04.2022;0:00;419;437;406;433,5;12,144
AQUA;D;27.04.2022;0:00;434,5;459;434;449;20,722
AQUA;D;28.04.2022;0:00;450;458,5;442,5;445;16,397
AQUA;D;29.04.2022;0:00;445;454;434,5;439;18,396
AQUA;D;04.05.2022;0:00;439,5;441,5;417;423,5;20,23
AQUA;D;05.05.2022;0:00;427,5;430,5;413,5;421;10,98
AQUA;D;06.05.2022;0:00;427,5;427,5;412;425;10,975
AQUA;D;11.05.2022;0:00;427;428;414;421,5;8,734
AQUA;D;12.05.2022;0:00;422;441,5;414,5;428;19,548
AQUA;D;13.05.2022;0:00;437;437;424;427;5,765
AQUA;D;16.05.2022;0:00;430;431,5;420;424;12,263
AQUA;D;17.05.2022;0:00;423;437;411;425;29,785
AQUA;D;18.05.2022;0:00;428,5;431;423;428,5;16,684
AQUA;D;19.05.2022;0:00;429;434;423;427;5,627
AQUA;D;20.05.2022;0:00;425,5;427;424;425,5;5,635
AQUA;D;23.05.2022;0:00;424;428,5;416;428,5;15,241
AQUA;D;24.05.2022;0:00;428,5;437;418;437;24,44
AQUA;D;25.05.2022;0:00;437,5;448;437,5;444,5;19,746
AQUA;D;26.05.2022;0:00;444,5;450,5;429,5;450;22,663
AQUA;D;27.05.2022;0:00;450,5;469,5;450,5;466;13,63
AQUA;D;30.05.2022;0:00;466;555;465;481,5;174,071
AQUA;D;31.05.2022;0:00;485,5;528;478,5;486,5;122,145
AQUA;D;01.06.2022;0:00;494;495,5;465;468;30,363
AQUA;D;02.06.2022;0:00;472,5;474,5;453;468;17,061
AQUA;D;03.06.2022;0:00;480;500;466,5;489;48,675
AQUA;D;06.06.2022;0:00;489;514,5;481;502,5;45,084
AQUA;D;07.06.2022;0:00;500,5;504;485;488;22,606
AQUA;D;08.06.2022;0:00;488;498;471,5;483,5;19,614
AQUA;D;09.06.2022;0:00;474,5;488;472;483,5;14,839
AQUA;D;10.06.2022;0:00;484,5;493,5;475;484;20,169
AQUA;D;14.06.2022;0:00;493,5;499;471,5;481;14,074
AQUA;D;15.06.2022;0:00;474,5;487;471,5;479;11,29
AQUA;D;16.06.2022;0:00;480;485;475,5;483;12,947
AQUA;D;17.06.2022;0:00;485;486;476,5;484;8,499
AQUA;D;20.06.2022;0:00;486;519;481,5;500;58,563
AQUA;D;21.06.2022;0:00;507;513;496;503,5;21,103
AQUA;D;22.06.2022;0:00;503,5;509;495,5;499;14,11
AQUA;D;23.06.2022;0:00;495,5;508;489;500;9,955
AQUA;D;24.06.2022;0:00;500;506,5;495,5;497;7,782
AQUA;D;27.06.2022;0:00;496;513;492,5;506,5;53,791
AQUA;D;28.06.2022;0:00;514,5;539;505,5;529,5;124,316
AQUA;D;29.06.2022;0:00;534;545;511,5;519;26,394
AQUA;D;30.06.2022;0:00;519;519,5;495;495,5;22,571
AQUA;D;01.07.2022;0:00;497;507;495,5;500;8,251
AQUA;D;04.07.2022;0:00;501,5;505,5;473,5;478;18,954
AQUA;D;05.07.2022;0:00;486;496;468;489;18,197
AQUA;D;06.07.2022;0:00;488;502;479,5;497;9,102
AQUA;D;07.07.2022;0:00;499;518,5;497,5;505;26,401
AQUA;D;08.07.2022;0:00;506;525;498;514,5;33,926
AQUA;D;11.07.2022;0:00;507,5;516,5;504;512;13,36
AQUA;D;12.07.2022;0:00;511;512;495;501;11,949
AQUA;D;13.07.2022;0:00;500;502,5;490,5;493,5;9,148
AQUA;D;14.07.2022;0:00;495;508;494,5;499,5;12,129
AQUA;D;15.07.2022;0:00;501,5;508;500,5;503;9,078
AQUA;D;18.07.2022;0:00;506;540;502,5;524;44,766
AQUA;D;19.07.2022;0:00;525,5;550;502;517,5;81,79
AQUA;D;20.07.2022;0:00;520;550;507,5;519;49,273
AQUA;D;21.07.2022;0:00;518;518,5;505,5;511,5;11,235
AQUA;D;22.07.2022;0:00;527;527;512;521;16,424
AQUA;D;25.07.2022;0:00;526;535;519,5;526;24,841
AQUA;D;26.07.2022;0:00;532,5;536,5;527;532;11,971
AQUA;D;27.07.2022;0:00;531;534,5;523,5;529,5;15,172
AQUA;D;28.07.2022;0:00;533,5;541,5;525,5;531,5;15,751
AQUA;D;29.07.2022;0:00;536;536,5;505;522;39,125
AQUA;D;01.08.2022;0:00;526;526;512,5;514,5;14,037
AQUA;D;02.08.2022;0:00;525;526;515,5;519,5;12,575
AQUA;D;03.08.2022;0:00;521;524;514,5;519;5,446
AQUA;D;04.08.2022;0:00;518,5;521,5;516,5;518;6,06
AQUA;D;05.08.2022;0:00;520,5;525;510;524,5;22,631
AQUA;D;08.08.2022;0:00;532,5;585,5;522,5;556,5;165,596
AQUA;D;09.08.2022;0:00;564,5;567,5;540;550;39,687
AQUA;D;10.08.2022;0:00;550;559;545;553;22,628
AQUA;D;11.08.2022;0:00;554;560;550;555,5;15,846
AQUA;D;12.08.2022;0:00;555;620;551;571;174,312
AQUA;D;15.08.2022;0:00;571,5;596;570,5;582;43,94
AQUA;D;16.08.2022;0:00;585,5;599;581;592;31,171
AQUA;D;17.08.2022;0:00;592,5;599;582;584;36,167
AQUA;D;18.08.2022;0:00;584;610;577,5;601;59,766
AQUA;D;19.08.2022;0:00;601;618;584;598,5;53,517
AQUA;D;22.08.2022;0:00;600;614;594;607,5;31,137
AQUA;D;23.08.2022;0:00;609,5;610;599,5;601;19,591
AQUA;D;24.08.2022;0:00;602,5;602,5;595;599;11,123
AQUA;D;25.08.2022;0:00;599;605;597;604,5;23,955
AQUA;D;26.08.2022;0:00;604;608,5;602;603;14,593
AQUA;D;29.08.2022;0:00;606;609;602,5;607,5;17,045
AQUA;D;30.08.2022;0:00;609;620;606,5;619;38,228
AQUA;D;31.08.2022;0:00;610;634;605;610,5;110,01
AQUA;D;01.09.2022;0:00;618,5;622,5;610,5;618,5;24,967
AQUA;D;02.09.2022;0:00;620,5;639,5;620,5;635,5;81,123
AQUA;D;05.09.2022;0:00;638,5;687;635,5;671;171,628
AQUA;D;06.09.2022;0:00;671,5;677,5;627;639;80,236
AQUA;D;07.09.2022;0:00;628;656;626;632;81,367
AQUA;D;08.09.2022;0:00;629;658,5;615;637,5;64,703
AQUA;D;09.09.2022;0:00;639;644,5;630;637;25,798
AQUA;D;12.09.2022;0:00;632;645;620;641,5;41,414
AQUA;D;13.09.2022;0:00;644,5;649;641;642,5;18,906
AQUA;D;14.09.2022;0:00;644,5;673;641,5;654,5;64,581
AQUA;D;15.09.2022;0:00;655;689,5;655;681,5;96,294
AQUA;D;16.09.2022;0:00;683;725;670,5;678,5;185,314
AQUA;D;19.09.2022;0:00;678,5;683,5;654,5;654,5;53,298
AQUA;D;20.09.2022;0:00;656,5;656,5;585;585,5;204,61
AQUA;D;21.09.2022;0:00;526,5;649,5;486;611;106,993
AQUA;D;22.09.2022;0:00;631;639,5;615,5;628;30,476
AQUA;D;23.09.2022;0:00;630;632,5;563;578;52,755
AQUA;D;26.09.2022;0:00;576;576,5;500;520;59,838
AQUA;D;27.09.2022;0:00;510,5;606,5;510;544;53,274
AQUA;D;28.09.2022;0:00;548,5;578,5;523,5;542;41,266
AQUA;D;29.09.2022;0:00;545;555,5;500;511,5;35,583
AQUA;D;30.09.2022;0:00;517;535;485,5;505;44,428
AQUA;D;03.10.2022;0:00;519,5;539;516,5;532,5;32,804
AQUA;D;04.10.2022;0:00;538,5;571,5;534,5;551,5;50,012
AQUA;D;05.10.2022;0:00;551,5;564,5;523,5;545,5;43,325
AQUA;D;06.10.2022;0:00;550;562;530;541,5;23,2
AQUA;D;07.10.2022;0:00;544;545;519;528;31,613
AQUA;D;10.10.2022;0:00;522,5;539,5;504;524;34,031
AQUA;D;11.10.2022;0:00;527,5;545;523,5;540,5;58,067
AQUA;D;12.10.2022;0:00;549;557;537;552;28,166
AQUA;D;13.10.2022;0:00;554,5;564,5;551,5;556,5;27
AQUA;D;14.10.2022;0:00;557,5;558,5;541,5;548;34,939
AQUA;D;17.10.2022;0:00;555,5;558;544;551,5;51,662
AQUA;D;18.10.2022;0:00;558;560,5;536;543;59,052
AQUA;D;19.10.2022;0:00;542,5;542,5;515,5;526,5;77,288
AQUA;D;20.10.2022;0:00;532;538;521;531,5;35,243
AQUA;D;21.10.2022;0:00;537;539;518,5;526,5;34,761
AQUA;D;24.10.2022;0:00;527,5;538,5;527,5;528;36,405
AQUA;D;25.10.2022;0:00;529;560;526,5;538;48,02
AQUA;D;26.10.2022;0:00;541,5;564;540;558,5;119,994
AQUA;D;27.10.2022;0:00;563,5;575;556,5;562,5;97,248
AQUA;D;28.10.2022;0:00;560;584;557;582;82,418
AQUA;D;31.10.2022;0:00;593;630;588;613;249,323
AQUA;D;01.11.2022;0:00;614;626,5;600,5;602;96,437
AQUA;D;02.11.2022;0:00;602;616;602;606;41,819
AQUA;D;03.11.2022;0:00;602,5;605;588;597,5;32,183
AQUA;D;07.11.2022;0:00;610;618;600,5;613;38,845
AQUA;D;08.11.2022;0:00;616;619;606;608,5;16,297
AQUA;D;09.11.2022;0:00;614;614;588,5;589;39,839
AQUA;D;10.11.2022;0:00;588,5;607,5;572;600,5;32,112
AQUA;D;11.11.2022;0:00;605;608;593,5;596,5;16,923
AQUA;D;14.11.2022;0:00;598;604,5;593;599,5;15,824
AQUA;D;15.11.2022;0:00;600,5;604;593;593;20,941
AQUA;D;16.11.2022;0:00;595;600;589;593,5;12,104
AQUA;D;17.11.2022;0:00;595;615;594;603,5;44,742
AQUA;D;18.11.2022;0:00;610;610,5;600;600,5;9,62
AQUA;D;21.11.2022;0:00;600,5;608,5;594;596;20,116
AQUA;D;22.11.2022;0:00;600,5;620;598,5;616,5;55,3
AQUA;D;23.11.2022;0:00;616,5;630;615,5;622;42,063
AQUA;D;24.11.2022;0:00;624;645;623;643;62,863
AQUA;D;25.11.2022;0:00;644,5;645;625;632,5;46,971
AQUA;D;28.11.2022;0:00;637;638,5;625,5;627,5;17,436
AQUA;D;29.11.2022;0:00;632;633;610;623;32,591
AQUA;D;30.11.2022;0:00;623,5;629;620,5;625,5;28,265
AQUA;D;01.12.2022;0:00;627;636;627;628,5;26,295
AQUA;D;02.12.2022;0:00;633;634,5;622;626;15,075
AQUA;D;05.12.2022;0:00;630;635,5;629,5;631,5;17,184
AQUA;D;06.12.2022;0:00;635,5;641,5;602;629;53,273
AQUA;D;07.12.2022;0:00;629;630;616;622;51,182
AQUA;D;08.12.2022;0:00;621,5;622;615;616;15,401
AQUA;D;09.12.2022;0:00;616;619,5;615;615,5;10,925
AQUA;D;12.12.2022;0:00;619;627,5;618;622;33,112
AQUA;D;13.12.2022;0:00;622;625,5;616;623;19,594
AQUA;D;14.12.2022;0:00;617;622;616;622;19,856
AQUA;D;15.12.2022;0:00;612;613;603;603;32,717
AQUA;D;16.12.2022;0:00;603;610;593;603,5;24,411
AQUA;D;19.12.2022;0:00;603,5;604,5;577,5;581;29,011
AQUA;D;20.12.2022;0:00;585;594;575;587,5;21,251
AQUA;D;21.12.2022;0:00;593,5;602,5;590;601,5;22,171
AQUA;D;22.12.2022;0:00;602,5;613;597;600,5;24,617
AQUA;D;23.12.2022;0:00;601,5;603,5;595;599;9,118
AQUA;D;26.12.2022;0:00;600;607,5;594;601,5;17,948
AQUA;D;27.12.2022;0:00;604,5;605;593;599,5;23,406
AQUA;D;28.12.2022;0:00;600;603;595,5;599;18,995
AQUA;D;29.12.2022;0:00;601;601;596;598,5;10,077
AQUA;D;30.12.2022;0:00;599;600;595;595;6,324
